"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 30 18:11:26 GMT 2022","Sun Jan 30 18:11:27 GMT 2022","948","","Example","","","","Opening a Page",""
"passed","Sun Jan 30 18:11:51 GMT 2022","Sun Jan 30 18:11:51 GMT 2022","594","","Example4","","","","Opening a Page",""
"passed","Sun Jan 30 18:11:36 GMT 2022","Sun Jan 30 18:11:37 GMT 2022","489","","Example2","","","","Opening a Page",""
"passed","Sun Jan 30 18:11:44 GMT 2022","Sun Jan 30 18:11:44 GMT 2022","491","","Example3","","","","Opening a Page",""
