"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jan 31 00:41:46 GMT 2022","Mon Jan 31 00:41:46 GMT 2022","1","","Example4","","","","Opening a Page",""
"passed","Mon Jan 31 00:41:40 GMT 2022","Mon Jan 31 00:41:40 GMT 2022","317","","Example3","","","","Opening a Page",""
"skipped","Mon Jan 31 00:41:35 GMT 2022","Mon Jan 31 00:41:35 GMT 2022","2","","Example2","","","","Opening a Page",""
"passed","Mon Jan 31 00:41:28 GMT 2022","Mon Jan 31 00:41:29 GMT 2022","445","","Example","","","","Opening a Page",""
