"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 30 22:21:43 GMT 2022","Sun Jan 30 22:21:43 GMT 2022","605","","Example4","","","","Opening a Page",""
"passed","Sun Jan 30 22:21:41 GMT 2022","Sun Jan 30 22:21:42 GMT 2022","590","","Example","","","","Opening a Page",""
"failed","Sun Jan 30 22:21:28 GMT 2022","Sun Jan 30 22:21:33 GMT 2022","4809","","Example2","","","","Opening a Page",""
"passed","Sun Jan 30 22:21:42 GMT 2022","Sun Jan 30 22:21:42 GMT 2022","476","","Example3","","","","Opening a Page",""
